2021-11-22 07:38:12 LK Repeating  process in 189
2021-11-22 11:11:14 LW Repeating  process in 20
2021-11-22 11:11:15 LK Repeating  process in 2108
2021-11-22 11:11:15 LW Repeating  process in 19
2021-11-22 11:11:16 LK Repeating  process in 2107
2021-11-22 11:11:16 LW Repeating  process in 18
2021-11-22 11:11:17 LK Repeating  process in 2106
2021-11-22 11:11:17 LW Repeating  process in 17
2021-11-22 11:11:18 LK Repeating  process in 2105
2021-11-22 11:11:18 LW Repeating  process in 16
2021-11-22 11:11:19 LK Repeating  process in 2104
2021-11-22 11:11:19 LW Repeating  process in 15
2021-11-22 11:11:20 LK Repeating  process in 2103
2021-11-22 11:11:20 LW Repeating  process in 14
2021-11-22 11:11:21 LK Repeating  process in 2102
2021-11-22 11:11:21 LW Repeating  process in 13
2021-11-22 11:11:22 LK Repeating  process in 2101
2021-11-22 11:11:22 LW Repeating  process in 12
2021-11-22 11:11:23 LK Repeating  process in 2100
2021-11-22 11:11:23 LW Repeating  process in 11
2021-11-22 11:11:24 LK Repeating  process in 2099
2021-11-22 11:11:24 LW Repeating  process in 10
2021-11-22 11:11:25 LK Repeating  process in 2098
2021-11-22 11:11:25 LW Repeating  process in 9
2021-11-22 11:11:26 LK Repeating  process in 2097
2021-11-22 11:11:26 LW Repeating  process in 8
2021-11-22 11:11:27 LK Repeating  process in 2096
2021-11-22 11:11:27 LW Repeating  process in 7
2021-11-22 11:11:28 LK Repeating  process in 2095
2021-11-22 11:11:28 LW Repeating  process in 6
2021-11-22 11:11:29 LK Repeating  process in 2094
2021-11-22 11:11:29 LW Repeating  process in 5
2021-11-22 11:11:30 LK Repeating  process in 2093
2021-11-22 11:11:30 LW Repeating  process in 4
2021-11-22 11:11:31 LK Repeating  process in 2092
2021-11-22 11:11:31 LW Repeating  process in 3
2021-11-22 11:11:32 LK Repeating  process in 2091
2021-11-22 11:11:32 LW Repeating  process in 2
2021-11-22 11:11:33 LK Repeating  process in 2090
2021-11-22 11:11:33 LW Repeating  process in 1
2021-11-22 11:11:34 LK Repeating  process in 2089
2021-11-22 11:11:34 LW Repeating  process in 0
2021-11-22 11:11:35 LK Repeating  process in 2088
2021-11-22 11:11:35 LW Starting rundown download
2021-11-22 11:11:36 LK Repeating  process in 2087
2021-11-22 11:11:37 LK Repeating  process in 2086
2021-11-22 11:11:38 LK Repeating  process in 2085
2021-11-22 11:11:39 LK Repeating  process in 2084
2021-11-22 11:11:40 LK Repeating  process in 2083
2021-11-22 11:11:41 LK Repeating  process in 2082
2021-11-22 11:11:42 LK Repeating  process in 2081
2021-11-22 11:11:43 LK Repeating  process in 2080
2021-11-22 11:11:44 LK Repeating  process in 2079
2021-11-22 11:11:45 LK Repeating  process in 2078
2021-11-22 11:11:46 LK Repeating  process in 2077
2021-11-22 11:11:47 LK Repeating  process in 2076
2021-11-22 11:11:48 LK Repeating  process in 2075
2021-11-22 11:11:48 LW Converting from NSML to dict
2021-11-22 11:11:48 LW Calculating backtimes
2021-11-22 11:11:48 LW Converting dict to json
2021-11-22 11:11:49 LK Repeating  process in 2074
2021-11-22 11:11:49 LW Uploading json files to AWS
2021-11-22 11:11:49 LW Repeating  process in 299
2021-11-22 11:11:50 LK Repeating  process in 2073
2021-11-22 11:11:50 LW Repeating  process in 298
2021-11-22 11:11:51 LK Repeating  process in 2072
2021-11-22 11:11:51 LW Repeating  process in 297
2021-11-22 11:11:52 LK Repeating  process in 2071
2021-11-22 11:11:52 LW Repeating  process in 296
2021-11-22 11:11:53 LK Repeating  process in 2070
2021-11-22 11:11:53 LW Repeating  process in 295
2021-11-22 11:11:54 LK Repeating  process in 2069
2021-11-22 11:11:54 LW Repeating  process in 294
2021-11-22 11:11:55 LK Repeating  process in 2068
2021-11-22 11:11:55 LW Repeating  process in 293
2021-11-22 11:11:56 LK Repeating  process in 2067
2021-11-22 11:11:56 LW Repeating  process in 292
2021-11-22 11:11:57 LK Repeating  process in 2066
2021-11-22 11:11:57 LW Repeating  process in 291
2021-11-22 11:11:58 LK Repeating  process in 2065
2021-11-22 11:11:58 LW Repeating  process in 290
2021-11-22 11:11:59 LK Repeating  process in 2064
2021-11-22 11:11:59 LW Repeating  process in 289
2021-11-22 11:12:00 LK Repeating  process in 2063
2021-11-22 11:12:00 LW Repeating  process in 288
2021-11-22 11:12:01 LK Repeating  process in 2062
2021-11-22 11:12:01 LW Repeating  process in 287
2021-11-22 11:12:02 LK Repeating  process in 2061
2021-11-22 11:12:02 LW Repeating  process in 286
2021-11-22 11:12:03 LK Repeating  process in 2060
2021-11-22 11:12:03 LW Repeating  process in 285
2021-11-22 11:12:04 LK Repeating  process in 2059
2021-11-22 11:12:04 LW Repeating  process in 284
2021-11-22 11:12:05 LK Repeating  process in 2058
2021-11-22 11:12:05 LW Repeating  process in 283
2021-11-22 11:12:06 LK Repeating  process in 2057
2021-11-22 11:12:06 LW Repeating  process in 282
2021-11-22 11:12:07 LK Repeating  process in 2056
2021-11-22 11:12:07 LW Repeating  process in 281
2021-11-22 11:12:08 LK Repeating  process in 2055
2021-11-22 11:12:08 LW Repeating  process in 280
2021-11-22 11:12:09 LK Repeating  process in 2054
2021-11-22 11:12:09 LW Repeating  process in 279
2021-11-22 11:12:10 LK Repeating  process in 2053
2021-11-22 11:12:10 LW Repeating  process in 278
2021-11-22 11:12:11 LK Repeating  process in 2052
2021-11-22 11:12:11 LW Repeating  process in 277
2021-11-22 11:12:12 LK Repeating  process in 2051
2021-11-22 11:12:12 LW Repeating  process in 276
2021-11-22 11:12:13 LK Repeating  process in 2050
2021-11-22 11:12:13 LW Repeating  process in 275
2021-11-22 11:12:14 LK Repeating  process in 2049
2021-11-22 11:12:14 LW Repeating  process in 274
2021-11-22 11:12:15 LK Repeating  process in 2048
2021-11-22 11:12:15 LW Repeating  process in 273
2021-11-22 11:12:16 LK Repeating  process in 2047
2021-11-22 11:12:16 LW Repeating  process in 272
2021-11-22 11:12:17 LK Repeating  process in 2046
2021-11-22 11:12:17 LW Repeating  process in 271
2021-11-22 11:12:18 LK Repeating  process in 2045
2021-11-22 11:12:18 LW Repeating  process in 270
2021-11-22 11:12:19 LK Repeating  process in 2044
2021-11-22 11:12:19 LW Repeating  process in 269
2021-11-22 11:12:20 LK Repeating  process in 2043
2021-11-22 11:12:20 LW Repeating  process in 268
2021-11-22 11:12:21 LK Repeating  process in 2042
2021-11-22 11:12:21 LW Repeating  process in 267
2021-11-22 11:12:22 LK Repeating  process in 2041
2021-11-22 11:12:22 LW Repeating  process in 266
2021-11-22 11:12:23 LK Repeating  process in 2040
2021-11-22 11:12:23 LW Repeating  process in 265
2021-11-22 11:12:24 LK Repeating  process in 2039
2021-11-22 11:12:24 LW Repeating  process in 264
2021-11-22 11:12:25 LK Repeating  process in 2038
2021-11-22 11:12:25 LW Repeating  process in 263
2021-11-22 11:12:26 LK Repeating  process in 2037
2021-11-22 11:12:26 LW Repeating  process in 262
2021-11-22 11:12:27 LK Repeating  process in 2036
2021-11-22 11:12:27 LW Repeating  process in 261
2021-11-22 11:12:28 LK Repeating  process in 2035
2021-11-22 11:12:28 LW Repeating  process in 260
2021-11-22 11:12:29 LK Repeating  process in 2034
2021-11-22 11:12:29 LW Repeating  process in 259
2021-11-22 11:12:30 LK Repeating  process in 2033
2021-11-22 11:12:30 LW Repeating  process in 258
2021-11-22 11:12:31 LK Repeating  process in 2032
2021-11-22 11:12:31 LW Repeating  process in 257
2021-11-22 11:12:32 LK Repeating  process in 2031
2021-11-22 11:12:32 LW Repeating  process in 256
2021-11-22 11:12:33 LK Repeating  process in 2030
2021-11-22 11:12:33 LW Repeating  process in 255
2021-11-22 11:12:34 LK Repeating  process in 2029
2021-11-22 11:12:34 LW Repeating  process in 254
2021-11-22 11:12:35 LK Repeating  process in 2028
2021-11-22 11:12:35 LW Repeating  process in 253
2021-11-22 11:12:36 LK Repeating  process in 2027
2021-11-22 11:12:36 LW Repeating  process in 252
2021-11-22 11:12:37 LK Repeating  process in 2026
2021-11-22 11:12:37 LW Repeating  process in 251
2021-11-22 11:12:38 LK Repeating  process in 2025
2021-11-22 11:12:38 LW Repeating  process in 250
2021-11-22 11:12:39 LK Repeating  process in 2024
2021-11-22 11:12:39 LW Repeating  process in 249
2021-11-22 11:12:40 LK Repeating  process in 2023
2021-11-22 11:12:40 LW Repeating  process in 248
2021-11-22 11:12:41 LK Repeating  process in 2022
2021-11-22 11:12:41 LW Repeating  process in 247
2021-11-22 11:12:42 LK Repeating  process in 2021
2021-11-22 11:12:42 LW Repeating  process in 246
2021-11-22 11:12:43 LK Repeating  process in 2020
2021-11-22 11:12:43 LW Repeating  process in 245
2021-11-22 11:12:44 LK Repeating  process in 2019
2021-11-22 11:12:44 LW Repeating  process in 244
2021-11-22 11:12:45 LK Repeating  process in 2018
2021-11-22 11:12:45 LW Repeating  process in 243
2021-11-22 11:12:46 LK Repeating  process in 2017
2021-11-22 11:12:46 LW Repeating  process in 242
2021-11-22 11:12:47 LK Repeating  process in 2016
2021-11-22 11:12:47 LW Repeating  process in 241
2021-11-22 11:12:48 LK Repeating  process in 2015
2021-11-22 11:12:48 LW Repeating  process in 240
2021-11-22 11:12:49 LK Repeating  process in 2014
2021-11-22 11:12:49 LW Repeating  process in 239
2021-11-22 11:12:50 LK Repeating  process in 2013
2021-11-22 11:12:50 LW Repeating  process in 238
2021-11-22 11:12:51 LK Repeating  process in 2012
2021-11-22 11:12:51 LW Repeating  process in 237
2021-11-22 11:12:52 LK Repeating  process in 2011
2021-11-22 11:12:52 LW Repeating  process in 236
2021-11-22 11:12:53 LK Repeating  process in 2010
2021-11-22 11:12:53 LW Repeating  process in 235
2021-11-22 11:12:54 LK Repeating  process in 2009
2021-11-22 11:12:54 LW Repeating  process in 234
2021-11-22 11:12:55 LK Repeating  process in 2008
2021-11-22 11:12:55 LW Repeating  process in 233
2021-11-22 11:12:56 LK Repeating  process in 2007
2021-11-22 11:12:56 LW Repeating  process in 232
2021-11-22 11:12:57 LK Repeating  process in 2006
2021-11-22 11:12:57 LW Repeating  process in 231
2021-11-22 11:12:58 LK Repeating  process in 2005
2021-11-22 11:12:58 LW Repeating  process in 230
2021-11-22 11:12:59 LK Repeating  process in 2004
2021-11-22 11:12:59 LW Repeating  process in 229
2021-11-22 11:13:00 LK Repeating  process in 2003
2021-11-22 11:13:00 LW Repeating  process in 228
2021-11-22 11:13:01 LK Repeating  process in 2002
2021-11-22 11:13:01 LW Repeating  process in 227
2021-11-22 11:13:02 LK Repeating  process in 2001
2021-11-22 11:13:02 LW Repeating  process in 226
2021-11-22 11:13:03 LK Repeating  process in 2000
2021-11-22 11:13:03 LW Repeating  process in 225
2021-11-22 11:13:04 LK Repeating  process in 1999
2021-11-22 11:13:04 LW Repeating  process in 224
2021-11-22 11:13:05 LK Repeating  process in 1998
2021-11-22 11:13:05 LW Repeating  process in 223
2021-11-22 11:13:06 LK Repeating  process in 1997
2021-11-22 11:13:06 LW Repeating  process in 222
2021-11-22 11:13:07 LK Repeating  process in 1996
2021-11-22 11:13:07 LW Repeating  process in 221
2021-11-22 11:13:08 LK Repeating  process in 1995
2021-11-22 11:13:08 LW Repeating  process in 220
2021-11-22 11:13:09 LK Repeating  process in 1994
2021-11-22 11:13:09 LW Repeating  process in 219
2021-11-22 11:13:10 LK Repeating  process in 1993
2021-11-22 11:13:10 LW Repeating  process in 218
2021-11-22 11:13:11 LK Repeating  process in 1992
2021-11-22 11:13:11 LW Repeating  process in 217
2021-11-22 11:13:12 LK Repeating  process in 1991
2021-11-22 11:13:12 LW Repeating  process in 216
2021-11-22 11:13:13 LK Repeating  process in 1990
2021-11-22 11:13:13 LW Repeating  process in 215
2021-11-22 11:13:14 LK Repeating  process in 1989
2021-11-22 11:13:14 LW Repeating  process in 214
2021-11-22 11:13:15 LK Repeating  process in 1988
2021-11-22 11:13:15 LW Repeating  process in 213
2021-11-22 11:13:16 LK Repeating  process in 1987
2021-11-22 11:13:16 LW Repeating  process in 212
2021-11-22 11:13:17 LK Repeating  process in 1986
2021-11-22 11:13:17 LW Repeating  process in 211
2021-11-22 11:13:18 LK Repeating  process in 1985
2021-11-22 11:13:18 LW Repeating  process in 210
2021-11-22 11:13:19 LK Repeating  process in 1984
2021-11-22 11:13:19 LW Repeating  process in 209
2021-11-22 11:13:20 LK Repeating  process in 1983
2021-11-22 11:13:20 LW Repeating  process in 208
2021-11-22 11:13:21 LK Repeating  process in 1982
2021-11-22 11:13:21 LW Repeating  process in 207
2021-11-22 11:13:22 LK Repeating  process in 1981
2021-11-22 11:13:22 LW Repeating  process in 206
2021-11-22 11:13:23 LK Repeating  process in 1980
2021-11-22 11:13:23 LW Repeating  process in 205
2021-11-22 11:13:24 LK Repeating  process in 1979
2021-11-22 11:13:24 LW Repeating  process in 204
2021-11-22 11:13:25 LK Repeating  process in 1978
2021-11-22 11:13:25 LW Repeating  process in 203
2021-11-22 11:13:26 LK Repeating  process in 1977
2021-11-22 11:13:26 LW Repeating  process in 202
2021-11-22 11:13:27 LK Repeating  process in 1976
2021-11-22 11:13:27 LW Repeating  process in 201
2021-11-22 11:13:28 LK Repeating  process in 1975
2021-11-22 11:13:28 LW Repeating  process in 200
2021-11-22 11:13:29 LK Repeating  process in 1974
2021-11-22 11:13:29 LW Repeating  process in 199
2021-11-22 11:13:30 LK Repeating  process in 1973
2021-11-22 11:13:30 LW Repeating  process in 198
2021-11-22 11:13:31 LK Repeating  process in 1972
2021-11-22 11:13:31 LW Repeating  process in 197
2021-11-22 11:13:32 LK Repeating  process in 1971
2021-11-22 11:13:32 LW Repeating  process in 196
2021-11-22 11:13:33 LK Repeating  process in 1970
2021-11-22 11:13:33 LW Repeating  process in 195
2021-11-22 11:13:34 LK Repeating  process in 1969
2021-11-22 11:13:34 LW Repeating  process in 194
2021-11-22 11:13:35 LK Repeating  process in 1968
2021-11-22 11:13:35 LW Repeating  process in 193
2021-11-22 11:13:36 LK Repeating  process in 1967
2021-11-22 11:13:36 LW Repeating  process in 192
2021-11-22 11:13:37 LK Repeating  process in 1966
2021-11-22 11:13:37 LW Repeating  process in 191
2021-11-22 11:13:38 LK Repeating  process in 1965
2021-11-22 11:13:38 LW Repeating  process in 190
2021-11-22 11:13:39 LK Repeating  process in 1964
2021-11-22 11:13:39 LW Repeating  process in 189
2021-11-22 11:13:40 LK Repeating  process in 1963
2021-11-22 11:13:40 LW Repeating  process in 188
2021-11-22 11:13:41 LK Repeating  process in 1962
2021-11-22 11:13:41 LW Repeating  process in 187
2021-11-22 11:13:42 LK Repeating  process in 1961
2021-11-22 11:13:42 LW Repeating  process in 186
2021-11-22 11:13:43 LK Repeating  process in 1960
2021-11-22 11:13:43 LW Repeating  process in 185
2021-11-22 11:13:44 LK Repeating  process in 1959
2021-11-22 11:13:44 LW Repeating  process in 184
2021-11-22 11:13:45 LK Repeating  process in 1958
2021-11-22 11:13:45 LW Repeating  process in 183
2021-11-22 11:13:46 LK Repeating  process in 1957
2021-11-22 11:13:46 LW Repeating  process in 182
2021-11-22 11:13:47 LK Repeating  process in 1956
2021-11-22 11:13:47 LW Repeating  process in 181
2021-11-22 11:13:48 LK Repeating  process in 1955
2021-11-22 11:13:48 LW Repeating  process in 180
2021-11-22 11:13:49 LK Repeating  process in 1954
2021-11-22 11:13:49 LW Repeating  process in 179
2021-11-22 11:13:50 LK Repeating  process in 1953
2021-11-22 11:13:50 LW Repeating  process in 178
2021-11-22 11:13:51 LK Repeating  process in 1952
2021-11-22 11:13:51 LW Repeating  process in 177
2021-11-22 11:13:52 LK Repeating  process in 1951
2021-11-22 11:13:52 LW Repeating  process in 176
2021-11-22 11:13:53 LK Repeating  process in 1950
2021-11-22 11:13:53 LW Repeating  process in 175
2021-11-22 11:13:54 LK Repeating  process in 1949
2021-11-22 11:13:54 LW Repeating  process in 174
2021-11-22 11:13:55 LK Repeating  process in 1948
2021-11-22 11:13:55 LW Repeating  process in 173
2021-11-22 11:13:56 LK Repeating  process in 1947
2021-11-22 11:13:56 LW Repeating  process in 172
2021-11-22 11:13:57 LK Repeating  process in 1946
2021-11-22 11:13:57 LW Repeating  process in 171
2021-11-22 11:13:58 LK Repeating  process in 1945
2021-11-22 11:13:58 LW Repeating  process in 170
2021-11-22 11:13:59 LK Repeating  process in 1944
2021-11-22 11:13:59 LW Repeating  process in 169
2021-11-22 11:14:00 LK Repeating  process in 1943
2021-11-22 11:14:00 LW Repeating  process in 168
2021-11-22 11:14:01 LK Repeating  process in 1942
2021-11-22 11:14:01 LW Repeating  process in 167
2021-11-22 11:14:02 LK Repeating  process in 1941
2021-11-22 11:14:02 LW Repeating  process in 166
2021-11-22 11:14:03 LK Repeating  process in 1940
2021-11-22 11:14:03 LW Repeating  process in 165
2021-11-22 11:14:04 LK Repeating  process in 1939
2021-11-22 11:14:04 LW Repeating  process in 164
2021-11-22 11:14:05 LK Repeating  process in 1938
2021-11-22 11:14:05 LW Repeating  process in 163
2021-11-22 11:14:06 LK Repeating  process in 1937
2021-11-22 11:14:06 LW Repeating  process in 162
2021-11-22 11:14:07 LK Repeating  process in 1936
2021-11-22 11:14:07 LW Repeating  process in 161
2021-11-22 11:14:08 LK Repeating  process in 1935
2021-11-22 11:14:08 LW Repeating  process in 160
2021-11-22 11:14:09 LK Repeating  process in 1934
2021-11-22 11:14:09 LW Repeating  process in 159
2021-11-22 11:14:10 LK Repeating  process in 1933
2021-11-22 11:14:10 LW Repeating  process in 158
2021-11-22 11:14:11 LK Repeating  process in 1932
2021-11-22 11:14:11 LW Repeating  process in 157
2021-11-22 11:14:12 LK Repeating  process in 1931
2021-11-22 11:14:12 LW Repeating  process in 156
2021-11-22 11:14:13 LK Repeating  process in 1930
2021-11-22 11:14:13 LW Repeating  process in 155
2021-11-22 11:14:14 LK Repeating  process in 1929
2021-11-22 11:14:14 LW Repeating  process in 154
2021-11-22 11:14:15 LK Repeating  process in 1928
2021-11-22 11:14:15 LW Repeating  process in 153
2021-11-22 11:14:16 LK Repeating  process in 1927
2021-11-22 11:14:16 LW Repeating  process in 152
2021-11-22 11:14:17 LK Repeating  process in 1926
2021-11-22 11:14:17 LW Repeating  process in 151
2021-11-22 11:14:18 LK Repeating  process in 1925
2021-11-22 11:14:18 LW Repeating  process in 150
2021-11-22 11:14:19 LK Repeating  process in 1924
2021-11-22 11:14:19 LW Repeating  process in 149
2021-11-22 11:14:20 LK Repeating  process in 1923
2021-11-22 11:14:20 LW Repeating  process in 148
2021-11-22 11:14:21 LK Repeating  process in 1922
2021-11-22 11:14:21 LW Repeating  process in 147
2021-11-22 11:14:22 LK Repeating  process in 1921
2021-11-22 11:14:22 LW Repeating  process in 146
2021-11-22 11:14:23 LK Repeating  process in 1920
2021-11-22 11:14:23 LW Repeating  process in 145
2021-11-22 11:14:24 LK Repeating  process in 1919
2021-11-22 11:14:24 LW Repeating  process in 144
2021-11-22 11:14:25 LK Repeating  process in 1918
2021-11-22 11:14:25 LW Repeating  process in 143
2021-11-22 11:14:26 LK Repeating  process in 1917
2021-11-22 11:14:26 LW Repeating  process in 142
2021-11-22 11:14:27 LK Repeating  process in 1916
2021-11-22 11:14:27 LW Repeating  process in 141
2021-11-22 11:14:28 LK Repeating  process in 1915
2021-11-22 11:14:28 LW Repeating  process in 140
2021-11-22 11:14:29 LK Repeating  process in 1914
2021-11-22 11:14:29 LW Repeating  process in 139
2021-11-22 11:14:30 LK Repeating  process in 1913
2021-11-22 11:14:30 LW Repeating  process in 138
2021-11-22 11:14:31 LK Repeating  process in 1912
2021-11-22 11:14:31 LW Repeating  process in 137
2021-11-22 11:14:32 LK Repeating  process in 1911
2021-11-22 11:14:32 LW Repeating  process in 136
2021-11-22 11:14:33 LK Repeating  process in 1910
2021-11-22 11:14:33 LW Repeating  process in 135
2021-11-22 11:14:34 LK Repeating  process in 1909
2021-11-22 11:14:34 LW Repeating  process in 134
2021-11-22 11:14:35 LK Repeating  process in 1908
2021-11-22 11:14:35 LW Repeating  process in 133
2021-11-22 11:14:36 LK Repeating  process in 1907
2021-11-22 11:14:36 LW Repeating  process in 132
2021-11-22 11:14:37 LK Repeating  process in 1906
2021-11-22 11:14:37 LW Repeating  process in 131
2021-11-22 11:14:38 LK Repeating  process in 1905
2021-11-22 11:14:38 LW Repeating  process in 130
2021-11-22 11:14:39 LK Repeating  process in 1904
2021-11-22 11:14:39 LW Repeating  process in 129
2021-11-22 11:14:40 LK Repeating  process in 1903
2021-11-22 11:14:40 LW Repeating  process in 128
2021-11-22 11:14:41 LK Repeating  process in 1902
2021-11-22 11:14:41 LW Repeating  process in 127
2021-11-22 11:14:42 LK Repeating  process in 1901
2021-11-22 11:14:42 LW Repeating  process in 126
2021-11-22 11:14:43 LK Repeating  process in 1900
2021-11-22 11:14:43 LW Repeating  process in 125
2021-11-22 11:14:44 LK Repeating  process in 1899
2021-11-22 11:14:44 LW Repeating  process in 124
2021-11-22 11:14:45 LK Repeating  process in 1898
2021-11-22 11:14:45 LW Repeating  process in 123
2021-11-22 11:14:46 LK Repeating  process in 1897
2021-11-22 11:14:46 LW Repeating  process in 122
2021-11-22 11:14:47 LK Repeating  process in 1896
2021-11-22 11:14:47 LW Repeating  process in 121
2021-11-22 11:14:48 LK Repeating  process in 1895
2021-11-22 11:14:48 LW Repeating  process in 120
2021-11-22 11:14:49 LK Repeating  process in 1894
2021-11-22 11:14:49 LW Repeating  process in 119
2021-11-22 11:14:50 LK Repeating  process in 1893
2021-11-22 11:14:50 LW Repeating  process in 118
2021-11-22 11:14:51 LK Repeating  process in 1892
2021-11-22 11:14:51 LW Repeating  process in 117
2021-11-22 11:14:52 LK Repeating  process in 1891
2021-11-22 11:14:52 LW Repeating  process in 116
2021-11-22 11:14:53 LK Repeating  process in 1890
2021-11-22 11:14:53 LW Repeating  process in 115
2021-11-22 11:14:54 LK Repeating  process in 1889
2021-11-22 11:14:54 LW Repeating  process in 114
2021-11-22 11:14:55 LK Repeating  process in 1888
2021-11-22 11:14:55 LW Repeating  process in 113
2021-11-22 11:14:56 LK Repeating  process in 1887
2021-11-22 11:14:56 LW Repeating  process in 112
2021-11-22 11:14:57 LK Repeating  process in 1886
2021-11-22 11:14:57 LW Repeating  process in 111
2021-11-22 11:14:58 LK Repeating  process in 1885
2021-11-22 11:14:58 LW Repeating  process in 110
2021-11-22 11:14:59 LK Repeating  process in 1884
2021-11-22 11:14:59 LW Repeating  process in 109
2021-11-22 11:15:00 LK Repeating  process in 1883
2021-11-22 11:15:00 LW Repeating  process in 108
2021-11-22 11:15:01 LK Repeating  process in 1882
2021-11-22 11:15:01 LW Repeating  process in 107
2021-11-22 11:15:02 LK Repeating  process in 1881
2021-11-22 11:15:02 LW Repeating  process in 106
2021-11-22 11:15:03 LK Repeating  process in 1880
2021-11-22 11:15:03 LW Repeating  process in 105
2021-11-22 11:15:04 LK Repeating  process in 1879
2021-11-22 11:15:04 LW Repeating  process in 104
2021-11-22 11:15:05 LK Repeating  process in 1878
2021-11-22 11:15:05 LW Repeating  process in 103
2021-11-22 11:15:06 LK Repeating  process in 1877
2021-11-22 11:15:06 LW Repeating  process in 102
2021-11-22 11:15:07 LK Repeating  process in 1876
2021-11-22 11:15:07 LW Repeating  process in 101
2021-11-22 11:15:08 LK Repeating  process in 1875
2021-11-22 11:15:08 LW Repeating  process in 100
2021-11-22 11:15:09 LK Repeating  process in 1874
2021-11-22 11:15:09 LW Repeating  process in 99
2021-11-22 11:15:10 LK Repeating  process in 1873
2021-11-22 11:15:10 LW Repeating  process in 98
2021-11-22 11:15:11 LK Repeating  process in 1872
2021-11-22 11:15:11 LW Repeating  process in 97
2021-11-22 11:15:12 LK Repeating  process in 1871
2021-11-22 11:15:12 LW Repeating  process in 96
2021-11-22 11:15:13 LK Repeating  process in 1870
2021-11-22 11:15:13 LW Repeating  process in 95
2021-11-22 11:15:14 LK Repeating  process in 1869
2021-11-22 11:15:14 LW Repeating  process in 94
2021-11-22 11:15:15 LK Repeating  process in 1868
2021-11-22 11:15:15 LW Repeating  process in 93
2021-11-22 11:15:16 LK Repeating  process in 1867
2021-11-22 11:15:16 LW Repeating  process in 92
2021-11-22 11:15:17 LK Repeating  process in 1866
2021-11-22 11:15:17 LW Repeating  process in 91
2021-11-22 11:15:18 LK Repeating  process in 1865
2021-11-22 11:15:18 LW Repeating  process in 90
2021-11-22 11:15:19 LK Repeating  process in 1864
2021-11-22 11:15:19 LW Repeating  process in 89
2021-11-22 11:15:20 LK Repeating  process in 1863
2021-11-22 11:15:20 LW Repeating  process in 88
2021-11-22 11:15:21 LK Repeating  process in 1862
2021-11-22 11:15:21 LW Repeating  process in 87
2021-11-22 11:15:22 LK Repeating  process in 1861
2021-11-22 11:15:22 LW Repeating  process in 86
2021-11-22 11:15:23 LK Repeating  process in 1860
2021-11-22 11:15:23 LW Repeating  process in 85
2021-11-22 11:15:24 LK Repeating  process in 1859
2021-11-22 11:15:24 LW Repeating  process in 84
2021-11-22 11:15:25 LK Repeating  process in 1858
2021-11-22 11:15:25 LW Repeating  process in 83
2021-11-22 11:15:26 LK Repeating  process in 1857
2021-11-22 11:15:26 LW Repeating  process in 82
2021-11-22 11:15:27 LK Repeating  process in 1856
2021-11-22 11:15:27 LW Repeating  process in 81
2021-11-22 11:15:28 LK Repeating  process in 1855
2021-11-22 11:15:28 LW Repeating  process in 80
2021-11-22 11:15:29 LK Repeating  process in 1854
2021-11-22 11:15:29 LW Repeating  process in 79
2021-11-22 11:15:30 LK Repeating  process in 1853
2021-11-22 11:15:30 LW Repeating  process in 78
2021-11-22 11:15:31 LK Repeating  process in 1852
2021-11-22 11:15:31 LW Repeating  process in 77
2021-11-22 11:15:32 LK Repeating  process in 1851
2021-11-22 11:15:32 LW Repeating  process in 76
2021-11-22 11:15:33 LK Repeating  process in 1850
2021-11-22 11:15:33 LW Repeating  process in 75
2021-11-22 11:15:34 LK Repeating  process in 1849
2021-11-22 11:15:34 LW Repeating  process in 74
2021-11-22 11:15:35 LK Repeating  process in 1848
2021-11-22 11:15:35 LW Repeating  process in 73
2021-11-22 11:15:36 LK Repeating  process in 1847
2021-11-22 11:15:36 LW Repeating  process in 72
2021-11-22 11:15:37 LK Repeating  process in 1846
2021-11-22 11:15:37 LW Repeating  process in 71
2021-11-22 11:15:38 LK Repeating  process in 1845
2021-11-22 11:15:38 LW Repeating  process in 70
2021-11-22 11:15:39 LK Repeating  process in 1844
2021-11-22 11:15:39 LW Repeating  process in 69
2021-11-22 11:15:40 LK Repeating  process in 1843
2021-11-22 11:15:40 LW Repeating  process in 68
2021-11-22 11:15:41 LK Repeating  process in 1842
2021-11-22 11:15:41 LW Repeating  process in 67
2021-11-22 11:15:42 LK Repeating  process in 1841
2021-11-22 11:15:42 LW Repeating  process in 66
2021-11-22 11:15:43 LK Repeating  process in 1840
2021-11-22 11:15:43 LW Repeating  process in 65
2021-11-22 11:15:44 LK Repeating  process in 1839
2021-11-22 11:15:44 LW Repeating  process in 64
2021-11-22 11:15:45 LK Repeating  process in 1838
2021-11-22 11:15:45 LW Repeating  process in 63
2021-11-22 11:15:46 LK Repeating  process in 1837
2021-11-22 11:15:46 LW Repeating  process in 62
2021-11-22 11:15:47 LK Repeating  process in 1836
2021-11-22 11:15:47 LW Repeating  process in 61
2021-11-22 11:15:48 LK Repeating  process in 1835
2021-11-22 11:15:48 LW Repeating  process in 60
2021-11-22 11:15:49 LK Repeating  process in 1834
2021-11-22 11:15:49 LW Repeating  process in 59
2021-11-22 11:15:50 LK Repeating  process in 1833
2021-11-22 11:15:50 LW Repeating  process in 58
2021-11-22 11:15:51 LK Repeating  process in 1832
2021-11-22 11:15:51 LW Repeating  process in 57
2021-11-22 11:15:52 LK Repeating  process in 1831
2021-11-22 11:15:52 LW Repeating  process in 56
